"cp_dest","cp_origin","category","num_cards","num_payments","incomes","incomes_per","contiguous","Freq","id","lon_origin","lat_origin","lon_dest","lat_dest"
28001,28001,"es_auto",32,33,12252.83,14.09,"exacto",9,"0",-3.6827947428548,40.4266206569017,-3.6827947428548,40.4266206569017
28001,28017,"es_contents",9,13,397.71,0.94,"no",9,"16",-3.64187532573015,40.4254521976648,-3.6827947428548,40.4266206569017
28001,28006,"es_contents",96,107,5208.79,8.62,"si",9,"5",-3.68059085538121,40.4366683635042,-3.6827947428548,40.4266206569017
28001,28024,"es_sportsandtoys",15,17,612.02,1.21,"no",9,"23",-3.79616738012501,40.3872559720786,-3.6827947428548,40.4266206569017
28001,28015,"es_tech",65,69,5518.13,2.84,"no",9,"14",-3.70949449786892,40.4337829665051,-3.6827947428548,40.4266206569017
28001,28001,"es_home",864,1129,90853.64,51.47,"exacto",9,"0",-3.6827947428548,40.4266206569017,-3.6827947428548,40.4266206569017
28001,28024,"es_wellnessandbeauty",91,99,4959.67,3.2,"no",9,"23",-3.79616738012501,40.3872559720786,-3.6827947428548,40.4266206569017
28001,28018,"es_health",43,46,5596.57,2,"no",9,"17",-3.65241322200622,40.3849719259345,-3.6827947428548,40.4266206569017
28001,28014,"es_fashion",160,269,13182.63,4.04,"si",9,"13",-3.69018557385281,40.4142116409088,-3.6827947428548,40.4266206569017
28001,28020,"es_wellnessandbeauty",158,195,13380.83,3.42,"no",9,"19",-3.69533506925182,40.4562555714859,-3.6827947428548,40.4266206569017
28001,28032,"es_auto",15,15,904.4,0.46,"no",9,"31",-3.60254902030191,40.4107577896408,-3.6827947428548,40.4266206569017
28001,28014,"es_health",158,202,12351.23,7.36,"si",9,"13",-3.69018557385281,40.4142116409088,-3.6827947428548,40.4266206569017
28001,28039,"all",1412,2260,130970.48,1.9,"no",9,"38",-3.70775582801526,40.4617603179843,-3.6827947428548,40.4266206569017
28001,28002,"es_home",255,301,29516.31,11.72,"no",9,"1",-3.67349407565516,40.4473897205517,-3.6827947428548,40.4266206569017
28001,28011,"es_barsandrestaurants",240,455,15063.69,3.79,"no",9,"10",-3.75245846368551,40.4209040062534,-3.6827947428548,40.4266206569017
28001,28013,"es_health",43,59,5489.3,5.11,"no",9,"12",-3.70967410612432,40.4194931916903,-3.6827947428548,40.4266206569017
28001,28015,"es_wellnessandbeauty",195,225,15479.32,4.09,"no",9,"14",-3.70949449786892,40.4337829665051,-3.6827947428548,40.4266206569017
28001,28050,"es_hyper",86,120,6010.72,0.31,"no",9,"49",-3.66104813663535,40.4999045859597,-3.6827947428548,40.4266206569017
28001,28026,"es_otherservices",29,38,4121.58,2.71,"no",9,"25",-3.70581341543113,40.3835614099015,-3.6827947428548,40.4266206569017
28001,28022,"es_auto",22,22,1723.93,0.86,"no",9,"21",-3.58559366701399,40.4406343679154,-3.6827947428548,40.4266206569017
28001,28002,"es_tech",191,198,10922.39,3.46,"no",9,"1",-3.67349407565516,40.4473897205517,-3.6827947428548,40.4266206569017
28001,28014,"es_home",144,176,14587.28,18.31,"si",9,"13",-3.69018557385281,40.4142116409088,-3.6827947428548,40.4266206569017
28001,28003,"es_auto",15,15,2074.33,0.94,"no",9,"2",-3.70358049456422,40.4439344680471,-3.6827947428548,40.4266206569017
28001,28019,"es_sportsandtoys",18,19,767.55,0.63,"no",9,"18",-3.72193638160057,40.3951245858191,-3.6827947428548,40.4266206569017
28001,28035,"es_hotelservices",4,4,421.87,1.92,"no",9,"34",-3.73369391897679,40.477443809722,-3.6827947428548,40.4266206569017
28001,28031,"es_wellnessandbeauty",113,142,9003.08,4.55,"no",9,"30",-3.62475944691038,40.3804216676855,-3.6827947428548,40.4266206569017
28001,28007,"es_travel",13,17,20631.54,22.41,"no",9,"6",-3.66959580903937,40.4095130293538,-3.6827947428548,40.4266206569017
28001,28023,"es_home",104,124,15607.09,20.7,"no",9,"22",-3.78085002716303,40.4643151105517,-3.6827947428548,40.4266206569017
28001,28047,"es_food",69,100,2270.83,0.21,"no",9,"46",-3.74648103459094,40.3942375784472,-3.6827947428548,40.4266206569017
28001,28015,"es_health",152,180,14641.64,2.61,"no",9,"14",-3.70949449786892,40.4337829665051,-3.6827947428548,40.4266206569017
28001,28012,"es_contents",4,4,146.41,0.34,"no",9,"11",-3.6994432279276,40.4108426467081,-3.6827947428548,40.4266206569017
28001,28024,"es_transportation",89,112,2613.25,0.46,"no",9,"23",-3.79616738012501,40.3872559720786,-3.6827947428548,40.4266206569017
28001,28015,"es_fashion",103,126,4095.59,0.6,"no",9,"14",-3.70949449786892,40.4337829665051,-3.6827947428548,40.4266206569017
28001,28042,"es_fashion",69,117,3554.67,0.33,"no",9,"41",-3.57190437725201,40.4759897061794,-3.6827947428548,40.4266206569017
28001,28008,"es_health",114,156,18929.47,4.64,"no",9,"7",-3.72269506637537,40.4296237654795,-3.6827947428548,40.4266206569017
28001,28026,"es_barsandrestaurants",174,297,9081.76,2.64,"no",9,"25",-3.70581341543113,40.3835614099015,-3.6827947428548,40.4266206569017
28001,28022,"es_tech",71,78,3370.38,1.29,"no",9,"21",-3.58559366701399,40.4406343679154,-3.6827947428548,40.4266206569017
28001,28027,"es_otherservices",194,217,16398.46,4.48,"no",9,"26",-3.64058063068962,40.4433232252492,-3.6827947428548,40.4266206569017
28001,28037,"es_barsandrestaurants",178,293,12382.29,4.21,"no",9,"36",-3.62145394489794,40.4326368086155,-3.6827947428548,40.4266206569017
