"category","cp_origin","month","exp_in","exp_out","exp_total","exp_in_per","exp_out_per"
"all","28018",mar 2013,193454.09,651036.98,844491.07,22.91,77.09
"all","28018",abr 2013,219364.03,676805.04,896169.07,24.48,75.52
"all","28019",nov 2012,221629.97,767972.12,989602.09,22.4,77.6
"all","28019",dic 2012,232342.89,835303.01,1067645.9,21.76,78.24
"all","28019",ene 2013,196086.64,759383.5,955470.14,20.52,79.48
"all","28019",feb 2013,206559.47,701670.07,908229.54,22.74,77.26
"all","28019",mar 2013,221286.95,732470.09,953757.04,23.2,76.8
"all","28019",abr 2013,229141.2,751728.62,980869.82,23.36,76.64
"all","28020",nov 2012,424138.35,850615.13,1274753.48,33.27,66.73
"all","28020",dic 2012,463936.62,902633.46,1366570.08,33.95,66.05
"all","28020",ene 2013,389710.61,829593.5,1219304.11,31.96,68.04
"all","28020",feb 2013,367420.22,786202.53,1153622.75,31.85,68.15
"all","28020",mar 2013,387874.17,788919.95,1176794.12,32.96,67.04
"all","28020",abr 2013,435034.41,865049.5,1300083.91,33.46,66.54
"all","28021",nov 2012,283704.06,519305.29,803009.35,35.33,64.67
"all","28021",dic 2012,315850.04,539630.71,855480.75,36.92,63.08
"all","28021",ene 2013,287451.5,479266.21,766717.71,37.49,62.51
"all","28021",feb 2013,297351.36,454453.94,751805.3,39.55,60.45
"all","28021",mar 2013,307059.56,478638.31,785697.87,39.08,60.92
"all","28021",abr 2013,343403.23,479820.29,823223.52,41.71,58.29
"all","28022",nov 2012,505533.38,659310.45,1164843.83,43.4,56.6
"all","28022",dic 2012,543786.8,695434.46,1239221.26,43.88,56.12
"all","28022",ene 2013,472549.18,617547.62,1090096.8,43.35,56.65
"all","28022",feb 2013,487708.78,585852.81,1073561.59,45.43,54.57
"all","28022",mar 2013,518775.1,610155.03,1128930.13,45.95,54.05
"all","28022",abr 2013,541131.01,637984.63,1179115.64,45.89,54.11
"all","28023",nov 2012,326881.67,562720.82,889602.49,36.74,63.26
"all","28023",dic 2012,363767.84,626001.59,989769.43,36.75,63.25
"all","28023",ene 2013,308311.86,539086.71,847398.57,36.38,63.62
"all","28023",feb 2013,280160.06,488534.37,768694.43,36.45,63.55
"all","28023",mar 2013,266518.49,500771.95,767290.44,34.74,65.26
"all","28023",abr 2013,291549.02,547895.68,839444.7,34.73,65.27
"all","28024",nov 2012,185151.32,480355.63,665506.95,27.82,72.18
"all","28024",dic 2012,175899.09,520721.47,696620.56,25.25,74.75
"all","28024",ene 2013,147978.96,507092.77,655071.73,22.59,77.41
"all","28024",feb 2013,149321.57,465444.19,614765.76,24.29,75.71
"all","28024",mar 2013,151798.69,478844.26,630642.95,24.07,75.93
"all","28024",abr 2013,174903.52,497174.31,672077.83,26.02,73.98
"all","28025",nov 2012,286765.95,545038.28,831804.23,34.48,65.52
"all","28025",dic 2012,297208.99,596691.94,893900.93,33.25,66.75
"all","28025",ene 2013,241425.94,550852.6,792278.54,30.47,69.53
"all","28025",feb 2013,260983.77,504769.57,765753.34,34.08,65.92
"all","28025",mar 2013,270482.92,533899.53,804382.45,33.63,66.37
"all","28025",abr 2013,287151.15,577663.68,864814.83,33.2,66.8
"all","28026",nov 2012,267051.54,503849.1,770900.64,34.64,65.36
"all","28026",dic 2012,285469.6,539220.8,824690.4,34.62,65.38
"all","28026",ene 2013,225882.99,488199.36,714082.35,31.63,68.37
"all","28026",feb 2013,251674.44,454248.23,705922.67,35.65,64.35
"all","28026",mar 2013,250210.49,459453.58,709664.07,35.26,64.74
"all","28026",abr 2013,269027.83,490265.64,759293.47,35.43,64.57
"all","28027",nov 2012,448350.57,969853.9,1418204.47,31.61,68.39
"all","28027",dic 2012,481425.15,1079585.23,1561010.38,30.84,69.16
"all","28027",ene 2013,409479.17,973961.63,1383440.8,29.6,70.4
"all","28027",feb 2013,425919.84,910263.19,1336183.03,31.88,68.12
"all","28027",mar 2013,430135.19,939377.32,1369512.51,31.41,68.59
"all","28027",abr 2013,476391.69,1135394.39,1611786.08,29.56,70.44
"all","28028",nov 2012,315166.12,1027003.21,1342169.33,23.48,76.52
"all","28028",dic 2012,312784.7,1077322.06,1390106.76,22.5,77.5
"all","28028",ene 2013,267008.46,982565.68,1249574.14,21.37,78.63
"all","28028",feb 2013,294755.22,906123.35,1200878.57,24.54,75.46
"all","28028",mar 2013,302850.66,942014.87,1244865.53,24.33,75.67
"all","28028",abr 2013,338668.71,991247.47,1329916.18,25.47,74.53
"all","28029",nov 2012,657843.35,776612.66,1434456.01,45.86,54.14
"all","28029",dic 2012,732828.53,807133.33,1539961.86,47.59,52.41
"all","28029",ene 2013,622071.5,757979.59,1380051.09,45.08,54.92
"all","28029",feb 2013,587291.9,720279.12,1307571.02,44.91,55.09
"all","28029",mar 2013,629623.87,732909.73,1362533.6,46.21,53.79
"all","28029",abr 2013,649888.67,823476.5,1473365.17,44.11,55.89
"all","28030",nov 2012,622228.51,951506.11,1573734.62,39.54,60.46
"all","28030",dic 2012,685504.81,1099334.71,1784839.52,38.41,61.59
"all","28030",ene 2013,547733.66,1012034.43,1559768.09,35.12,64.88
"all","28030",feb 2013,573410.1,900385.97,1473796.07,38.91,61.09
"all","28030",mar 2013,612004.64,933063.39,1545068.03,39.61,60.39
"all","28030",abr 2013,651120.61,992991.02,1644111.63,39.6,60.4
"all","28031",nov 2012,247948.16,627887.13,875835.29,28.31,71.69
"all","28031",dic 2012,229476.54,709335.54,938812.08,24.44,75.56
"all","28031",ene 2013,201750.36,614941.05,816691.41,24.7,75.3
"all","28031",feb 2013,217337.01,584322.49,801659.5,27.11,72.89
"all","28031",mar 2013,236229.88,590224.44,826454.32,28.58,71.42
"all","28031",abr 2013,243834.41,609994.99,853829.4,28.56,71.44
"all","28032",nov 2012,416547.2,837487.43,1254034.63,33.22,66.78
"all","28032",dic 2012,433335.07,919383.86,1352718.93,32.03,67.97
"all","28032",ene 2013,367313.81,856348.37,1223662.18,30.02,69.98
"all","28032",feb 2013,393508.38,799300.78,1192809.16,32.99,67.01
"all","28032",mar 2013,411475.71,824333.88,1235809.59,33.3,66.7
"all","28032",abr 2013,441577.3,858981.66,1300558.96,33.95,66.05
"all","28033",nov 2012,383502.67,1396172.11,1779674.78,21.55,78.45
"all","28033",dic 2012,367201.45,1485146.81,1852348.26,19.82,80.18
"all","28033",ene 2013,336263.33,1357399.76,1693663.09,19.85,80.15
"all","28033",feb 2013,362986.67,1309390.72,1672377.39,21.7,78.3
"all","28033",mar 2013,369023.35,1393746.28,1762769.63,20.93,79.07
"all","28033",abr 2013,410346.88,1440929.67,1851276.55,22.17,77.83
"all","28034",nov 2012,419280.31,1167626.23,1586906.54,26.42,73.58
"all","28034",dic 2012,409426.51,1288871.57,1698298.08,24.11,75.89
"all","28034",ene 2013,368329.97,1152550.64,1520880.61,24.22,75.78
"all","28034",feb 2013,373344.05,1103467.93,1476811.98,25.28,74.72
"all","28034",mar 2013,388288.21,1106256.84,1494545.05,25.98,74.02
"all","28034",abr 2013,437670.6,1194122.63,1631793.23,26.82,73.18
"all","28035",nov 2012,356831.82,1442341.86,1799173.68,19.83,80.17
"all","28035",dic 2012,352473.07,1656318.44,2008791.51,17.55,82.45
"all","28035",ene 2013,314541.61,1411454.49,1725996.1,18.22,81.78
"all","28035",feb 2013,332306.06,1422365.13,1754671.19,18.94,81.06
"all","28035",mar 2013,333827.56,1382702.84,1716530.4,19.45,80.55
"all","28035",abr 2013,395239.43,1529926.58,1925166.01,20.53,79.47
"all","28036",nov 2012,215696.63,818136.36,1033832.99,20.86,79.14
"all","28036",dic 2012,240875.84,927804.12,1168679.96,20.61,79.39
"all","28036",ene 2013,201120.21,809593.4,1010713.61,19.9,80.1
"all","28036",feb 2013,199189.12,785935.18,985124.3,20.22,79.78
"all","28036",mar 2013,209843.41,840986.01,1050829.42,19.97,80.03
"all","28036",abr 2013,238964.54,882076.42,1121040.96,21.32,78.68
"all","28037",nov 2012,103760.74,524292.42,628053.16,16.52,83.48
"all","28037",dic 2012,106198.71,567608.68,673807.39,15.76,84.24
"all","28037",ene 2013,90544.68,495874.05,586418.73,15.44,84.56
"all","28037",feb 2013,98205.57,461414.68,559620.25,17.55,82.45
"all","28037",mar 2013,106241.09,506360.04,612601.13,17.34,82.66
"all","28037",abr 2013,115241.28,515436.98,630678.26,18.27,81.73
"all","28038",nov 2012,259437.24,493008.26,752445.5,34.48,65.52
"all","28038",dic 2012,274364.37,541545.94,815910.31,33.63,66.37
"all","28038",ene 2013,224958.75,504666.45,729625.2,30.83,69.17
"all","28038",feb 2013,236022.15,452485.47,688507.62,34.28,65.72
"all","28038",mar 2013,251127.57,484754.54,735882.11,34.13,65.87
"all","28038",abr 2013,260027.41,513127.25,773154.66,33.63,66.37
"all","28039",nov 2012,176089.46,1014490.64,1190580.1,14.79,85.21
"all","28039",dic 2012,179021.9,1072516.05,1251537.95,14.3,85.7
"all","28039",ene 2013,138744.37,976140.27,1114884.64,12.44,87.56
"all","28039",feb 2013,147027.87,906763.21,1053791.08,13.95,86.05
"all","28039",mar 2013,159282.86,947713.52,1106996.38,14.39,85.61
"all","28039",abr 2013,177296.98,1013580.48,1190877.46,14.89,85.11
"all","28040",nov 2012,15360.28,154577.29,169937.57,9.04,90.96
"all","28040",dic 2012,12871.38,189813.88,202685.26,6.35,93.65
"all","28040",ene 2013,15489.08,155909.12,171398.2,9.04,90.96
"all","28040",feb 2013,14945.79,155592.81,170538.6,8.76,91.24
"all","28040",mar 2013,12885.33,151619.99,164505.32,7.83,92.17
"all","28040",abr 2013,16158.16,154059.78,170217.94,9.49,90.51
"all","28041",nov 2012,380555.44,626932.06,1007487.5,37.77,62.23
"all","28041",dic 2012,406807.08,664513.56,1071320.64,37.97,62.03
"all","28041",ene 2013,330131.24,600256.69,930387.93,35.48,64.52
"all","28041",feb 2013,361507.62,568119.47,929627.09,38.89,61.11
"all","28041",mar 2013,381114.43,593865.58,974980.01,39.09,60.91
"all","28041",abr 2013,403621.34,626767.34,1030388.68,39.17,60.83
"all","28042",nov 2012,357806.4,596050.87,953857.27,37.51,62.49
"all","28042",dic 2012,390466.36,617355.33,1007821.69,38.74,61.26
"all","28042",ene 2013,334323.96,572025.39,906349.35,36.89,63.11
"all","28042",feb 2013,356267.9,538515.37,894783.27,39.82,60.18
"all","28042",mar 2013,360487.95,565419.67,925907.62,38.93,61.07
"all","28042",abr 2013,385221.27,623330.24,1008551.51,38.2,61.8
"all","28043",nov 2012,672111.82,1212728.01,1884839.83,35.66,64.34
"all","28043",dic 2012,695805.35,1372548.59,2068353.94,33.64,66.36
"all","28043",ene 2013,614032.89,1210966.85,1824999.74,33.65,66.35
"all","28043",feb 2013,625577.7,1147298.01,1772875.71,35.29,64.71
"all","28043",mar 2013,644617.67,1135507.1,1780124.77,36.21,63.79
"all","28043",abr 2013,704664.17,1273585.5,1978249.67,35.62,64.38
"all","28044",nov 2012,212360.18,529487.4,741847.58,28.63,71.37
"all","28044",dic 2012,234209.14,551640.89,785850.03,29.8,70.2
"all","28044",ene 2013,189033.87,520761.57,709795.44,26.63,73.37
"all","28044",feb 2013,203770.86,489951.15,693722.01,29.37,70.63
"all","28044",mar 2013,218784.69,512275.68,731060.37,29.93,70.07
"all","28044",abr 2013,216347.9,539627.86,755975.76,28.62,71.38
"all","28045",nov 2012,534564.11,962014.13,1496578.24,35.72,64.28
"all","28045",dic 2012,567153.11,1059381.35,1626534.46,34.87,65.13
"all","28045",ene 2013,484751.08,1027456.97,1512208.05,32.06,67.94
"all","28045",feb 2013,514979.28,897671.4,1412650.68,36.45,63.55
"all","28045",mar 2013,546173.32,919427.63,1465600.95,37.27,62.73
"all","28045",abr 2013,602877.79,980707.66,1583585.45,38.07,61.93
"all","28046",nov 2012,44771.65,391532.88,436304.53,10.26,89.74
"all","28046",dic 2012,43722.09,360486.78,404208.87,10.82,89.18
"all","28046",ene 2013,40064.88,344289.73,384354.61,10.42,89.58
"all","28046",feb 2013,40654.8,332395.33,373050.13,10.9,89.1
"all","28046",mar 2013,37528,312963.22,350491.22,10.71,89.29
"all","28046",abr 2013,41387.83,368832.32,410220.15,10.09,89.91
"all","28047",nov 2012,189793.11,681328.5,871121.61,21.79,78.21
"all","28047",dic 2012,194093.84,763813.38,957907.22,20.26,79.74
"all","28047",ene 2013,158828.47,677163.16,835991.63,19,81
"all","28047",feb 2013,175974.14,619640.7,795614.84,22.12,77.88
"all","28047",mar 2013,186394.31,635217.97,821612.28,22.69,77.31
"all","28047",abr 2013,217908.99,704077.77,921986.76,23.63,76.37
"all","28048",nov 2012,7298.68,30613.75,37912.43,19.25,80.75
"all","28048",dic 2012,6908.53,33081.26,39989.79,17.28,82.72
"all","28048",ene 2013,7086.78,29684.93,36771.71,19.27,80.73
"all","28048",feb 2013,6111.57,28069.89,34181.46,17.88,82.12
"all","28048",mar 2013,9204.62,31159.38,40364,22.8,77.2
"all","28048",abr 2013,7701.94,27632.04,35333.98,21.8,78.2
"all","28049",nov 2012,32042.99,249208.26,281251.25,11.39,88.61
"all","28049",dic 2012,31676.16,258943.33,290619.49,10.9,89.1
"all","28049",ene 2013,30008.9,237723.84,267732.74,11.21,88.79
"all","28049",feb 2013,31792.74,239638.2,271430.94,11.71,88.29
"all","28049",mar 2013,33405.83,236963.62,270369.45,12.36,87.64
"all","28049",abr 2013,38791.59,253272.8,292064.39,13.28,86.72
"all","28050",nov 2012,514416.31,822599.05,1337015.36,38.47,61.53
"all","28050",dic 2012,522678.85,851583.32,1374262.17,38.03,61.97
"all","28050",ene 2013,493704.95,779542.19,1273247.14,38.78,61.22
"all","28050",feb 2013,465915.6,745495.48,1211411.08,38.46,61.54
"all","28050",mar 2013,489349.71,784073.51,1273423.22,38.43,61.57
"all","28050",abr 2013,524810.82,825478.39,1350289.21,38.87,61.13
"all","28051",nov 2012,176149.84,185165.97,361315.81,48.75,51.25
"all","28051",dic 2012,178735.6,186897.15,365632.75,48.88,51.12
"all","28051",ene 2013,154348.51,190097.06,344445.57,44.81,55.19
"all","28051",feb 2013,146017.85,165117.84,311135.69,46.93,53.07
"all","28051",mar 2013,167350.97,183946.42,351297.39,47.64,52.36
"all","28051",abr 2013,156550.31,224562.19,381112.5,41.08,58.92
"all","28052",nov 2012,0,1229.09,1229.09,0,100
"all","28052",dic 2012,364.32,1099.15,1463.47,24.89,75.11
"all","28052",ene 2013,355.94,1255.99,1611.93,22.08,77.92
"all","28052",feb 2013,279.01,1790.61,2069.62,13.48,86.52
"all","28052",mar 2013,506.33,1630.18,2136.51,23.7,76.3
"all","28052",abr 2013,626.92,1830.43,2457.35,25.51,74.49
"all","28053",nov 2012,84309.3,397932.28,482241.58,17.48,82.52
"all","28053",dic 2012,83400.27,475599.45,558999.72,14.92,85.08
"all","28053",ene 2013,68143.64,410015.86,478159.5,14.25,85.75
"all","28053",feb 2013,78663.59,389120.38,467783.97,16.82,83.18
"all","28053",mar 2013,85087.19,422437.75,507524.94,16.77,83.23
"all","28053",abr 2013,90688.6,409342.32,500030.92,18.14,81.86
"all","28054",nov 2012,169547.72,160262.22,329809.94,51.41,48.59
"all","28054",dic 2012,182281.97,179001.92,361283.89,50.45,49.55
"all","28054",ene 2013,171731.01,171485.46,343216.47,50.04,49.96
"all","28054",feb 2013,159192.35,151231.5,310423.85,51.28,48.72
"all","28054",mar 2013,179572.93,180082.98,359655.91,49.93,50.07
"all","28054",abr 2013,189138.95,191103.03,380241.98,49.74,50.26
"all","28055",nov 2012,0,14998.29,14998.29,0,100
"all","28055",dic 2012,0,16369.83,16369.83,0,100
"all","28055",ene 2013,0,17205.57,17205.57,0,100
"all","28055",feb 2013,0,16175.06,16175.06,0,100
"all","28055",mar 2013,0,13803.14,13803.14,0,100
"all","28055",abr 2013,0,19037.19,19037.19,0,100
"es_auto","28001",nov 2012,807.95,11020.2,11828.15,6.83,93.17
"es_auto","28001",dic 2012,2210.08,6288.85,8498.93,26,74
"es_auto","28001",ene 2013,1194.78,10244,11438.78,10.44,89.56
"es_auto","28001",feb 2013,2629.73,19903.48,22533.21,11.67,88.33
"es_auto","28001",mar 2013,1739.98,13432.22,15172.2,11.47,88.53
"es_auto","28001",abr 2013,3670.31,13805.39,17475.7,21,79
"es_auto","28002",nov 2012,13868.66,32812.94,46681.6,29.71,70.29
"es_auto","28002",dic 2012,9334.66,25299.94,34634.6,26.95,73.05
"es_auto","28002",ene 2013,14818.78,40095.96,54914.74,26.99,73.01
"es_auto","28002",feb 2013,11986.98,21188.89,33175.87,36.13,63.87
"es_auto","28002",mar 2013,15546.28,28973.72,44520,34.92,65.08
"es_auto","28002",abr 2013,21819.35,37718.73,59538.08,36.65,63.35
"es_auto","28003",nov 2012,10802.66,33672.16,44474.82,24.29,75.71
"es_auto","28003",dic 2012,8421.03,28064.98,36486.01,23.08,76.92
"es_auto","28003",ene 2013,10917.45,23446.71,34364.16,31.77,68.23
"es_auto","28003",feb 2013,5965.88,22437.06,28402.94,21,79
"es_auto","28003",mar 2013,9402.77,24443.37,33846.14,27.78,72.22
"es_auto","28003",abr 2013,10820.7,31128.18,41948.88,25.79,74.21
"es_auto","28004",nov 2012,856.42,7006.21,7862.63,10.89,89.11
"es_auto","28004",dic 2012,472.99,6735,7207.99,6.56,93.44
"es_auto","28004",ene 2013,362.65,11393.36,11756.01,3.08,96.92
"es_auto","28004",feb 2013,0,9174.17,9174.17,0,100
"es_auto","28004",mar 2013,0,4789.83,4789.83,0,100
"es_auto","28004",abr 2013,188.18,11223.75,11411.93,1.65,98.35
"es_auto","28005",nov 2012,9059.93,36485,45544.93,19.89,80.11
"es_auto","28005",dic 2012,8147.07,24741.32,32888.39,24.77,75.23
"es_auto","28005",ene 2013,12648.3,31140.66,43788.96,28.88,71.12
"es_auto","28005",feb 2013,7384.26,28770.81,36155.07,20.42,79.58
"es_auto","28005",mar 2013,9560.49,28846.98,38407.47,24.89,75.11
"es_auto","28005",abr 2013,8178.43,36837.43,45015.86,18.17,81.83
"es_auto","28006",nov 2012,4609.66,22517.84,27127.5,16.99,83.01
"es_auto","28006",dic 2012,3644.81,23191.72,26836.53,13.58,86.42
"es_auto","28006",ene 2013,8803.35,23257.22,32060.57,27.46,72.54
"es_auto","28006",feb 2013,5924.31,14577.18,20501.49,28.9,71.1
"es_auto","28006",mar 2013,4443.56,19373,23816.56,18.66,81.34
"es_auto","28006",abr 2013,4038.16,23927.9,27966.06,14.44,85.56
"es_auto","28007",nov 2012,21542.35,40168.34,61710.69,34.91,65.09
"es_auto","28007",dic 2012,23954.63,20048.76,44003.39,54.44,45.56
"es_auto","28007",ene 2013,21029.54,32975.23,54004.77,38.94,61.06
"es_auto","28007",feb 2013,29268.64,43725.51,72994.15,40.1,59.9
"es_auto","28007",mar 2013,25121.31,30552.47,55673.78,45.12,54.88
"es_auto","28007",abr 2013,33429.49,31026.07,64455.56,51.86,48.14
"es_auto","28008",nov 2012,4113.2,13798.31,17911.51,22.96,77.04
"es_auto","28008",dic 2012,4756.63,11234.76,15991.39,29.74,70.26
"es_auto","28008",ene 2013,2461.25,14563.08,17024.33,14.46,85.54
"es_auto","28008",feb 2013,2470.98,7311.37,9782.35,25.26,74.74
"es_auto","28008",mar 2013,2313.53,15837.09,18150.62,12.75,87.25
"es_auto","28008",abr 2013,9942.48,16136.24,26078.72,38.12,61.88
"es_auto","28009",nov 2012,3803.89,20262.39,24066.28,15.81,84.19
"es_auto","28009",dic 2012,6440.13,20895.64,27335.77,23.56,76.44
"es_auto","28009",ene 2013,3771.65,15632.46,19404.11,19.44,80.56
"es_auto","28009",feb 2013,7083.73,25817.99,32901.72,21.53,78.47
"es_auto","28009",mar 2013,10414.64,21106.16,31520.8,33.04,66.96
"es_auto","28009",abr 2013,2772.24,30802.75,33574.99,8.26,91.74
"es_auto","28010",nov 2012,2431.07,14308.05,16739.12,14.52,85.48
"es_auto","28010",dic 2012,2455.69,22457.35,24913.04,9.86,90.14
"es_auto","28010",ene 2013,3689.21,19868.17,23557.38,15.66,84.34
"es_auto","28010",feb 2013,4725.31,13925.27,18650.58,25.34,74.66
